name,address,latitude,longitude,rating,user_ratings_total,place_id
Osteria S. Margherita,"Str. Santa Margherita, 46, Fidenza",44.8344546,10.0904794,4.2,410,ChIJLwcwY0pngEcRqnjM8X8t-Rs
"Trattoria ""La Cioppa""","Località Gambarato, 119, Salsomaggiore Terme",44.8363667,10.0509021,3.9,581,ChIJQ0JNNaNhgEcRkD-GGH_dHUI
Trattoria La Boschina,"Strada della Lodesana, Fidenza",44.84143539999999,10.0568262,4.2,487,ChIJV1IUmUFhgEcRlpxyXW_9eMY
Hotel Arda,"Via Luigi Scapuzzi, 35, Fiorenzuola d'Arda",44.92274099999999,9.922659000000001,4.1,643,ChIJOY7rFY3zgEcRYnveXW35myM
Trattoria da Anna,"Str. Cornaccina, 32/36, Medesano",44.7670736,10.1410234,4.4,1002,ChIJydKPSjxlgEcRA-mNnCzoBwE
Trattoria Madonna Del Monte,"Via Varani, 80, San Vittore",44.7625738,9.9798198,4.5,415,ChIJERU7xHFigEcR3JAlQnR4Uzs
Trattoria del sole,"Via Tabiano, 76, Fidenza",44.8046163,10.0807392,4.5,658,ChIJF48Mrs1mgEcR4HGLDQ4QIOs
Bar Gelateria Ugo,"Viale Giacomo Matteotti, 44, Fiorenzuola d'Arda",44.9275239,9.907589399999999,4.4,257,ChIJG3z3_cDzgEcRfOEQHQIrPvo
Trattoria Da Luigi,"Località Franchini, 19, Vernasca",44.8280868,9.8817253,4.4,1204,ChIJSUSTnWOMgEcRbEsGoMgUlB8
Trattoria Bellaria,"Via Bellaria, 14, Salsomaggiore Terme",44.8186277,9.9657793,4,640,ChIJLVXmiWeKgEcR778AS8JZkI0
Antica Trattoria di Vigostano,"Via Vigostano, 17, Castell'Arquato",44.8886999,9.846383699999999,4.3,518,ChIJkb8B577ygEcRRDD7ajbCPlQ
Trattoria San Giorgio,"Via Michele Leoni, 12, Fidenza",44.8654904,10.0581702,4.4,321,ChIJfeNW-TFegEcRYCl2xQ2NN28
Trattoria Ceriati di Antonio Tartamella & C Snc,"Str. di Cangelasio, 18, Ceriati",44.8129482,9.9397012,4.5,1212,ChIJfdsle5yLgEcRtBN_FavqFDM
Trattoria La Crocetta,"Str. Della Crocetta, 26, Castell'Arquato",44.8507709,9.8757101,4.3,727,ChIJX-KM3rOMgEcRyu9nuaHG4x0
Degusteria Io Parmigianino,"Via Guglielmo Marconi, 19, Fontanellato",44.8818053,10.1735554,4.4,699,ChIJSxM1kx9dgEcRcuzGHwno6x0
