name,address,latitude,longitude,rating,user_ratings_total,place_id,distance_km,duration_text
Osteria del Castellazzo,"Borgo Castellazzo, 40, Salsomaggiore Terme",44.8153877,9.9786863,4.3,354,ChIJxzpNP22KgEcREGu7sqLj6ks,2.799,6 mins
"Trattoria ""Lo Scoiattolo""","Via Costa Pavesi, 30, Costa Mezzana",44.7953078,10.0911196,4.3,453,ChIJ8d_4S79mgEcRRPGVayhKlbs,11.366,17 mins
Trattoria Al Voltone,"Via della Repubblica, 20, Soragna",44.9263874,10.1216706,4.5,965,ChIJtZjSwf9bgEcRnxJPagp4fFI,20.31,25 mins
Ristorante Atto Primo - Cucina Tipica Emiliana,"Via Federico Fellini, 22D, Fidenza",44.8843366,10.0859486,4.1,2339,ChIJ5YEOsmhegEcRJLkg51zSiO4,14.228,16 mins
Bar Trattoria Cavallo - La Tortafritteria,"Scipione Ponte, 2, Scipione Ponte",44.8313603,9.956071699999999,4.5,1389,ChIJF0Fj1vuKgEcRs4GtrU0nlFU,6.553,11 mins
Bar Ristorante La Rocca 1964,"Piazza Monumentale, Via Asilo, 4, Castell'Arquato",44.85142,9.86718,4.7,358,ChIJ9fgXK-eMgEcRDuvtLNTCloA,22.734,30 mins
Ca'Os Locanda & Grill,"Via C. Cavour, 53, Castell'Arquato",44.880741,9.8415184,4.8,112,ChIJE_qLFa_zgEcRS31bwRUC-3s,28.375,34 mins
Trattoria Botteghino,"Località Franchini, 3, Vernasca",44.82750000000001,9.8805556,4.4,589,ChIJq3CmlmaMgEcRaFpYwhYfTZM,18.007,25 mins
La Locanda di Valentina,"Via Alessandro Manzoni, 4, Vigolo Marchese",44.8780228,9.8427954,4.4,398,ChIJ7dnrFLTygEcR7DyxMukvvTU,28.224,34 mins
Ristorante Mezzadri,"Località Paroletta, 2, Paroletta",44.8983753,10.1603091,4.5,938,ChIJB8aYzvVcgEcRxEIJQ05WxNY,21.126,24 mins
Piccola Osteria del Borgo,"Vicolo Riorzo, 1, Castell'Arquato",44.8533343,9.8685846,4.5,617,ChIJ-w3hW-eMgEcRzWqbbcrQtOY,22.291,28 mins
Bar Trattoria da Ivo,"Via Parola, 2, Parola",44.8544704,10.1059989,4,473,ChIJjwKBYTlqgEcR0eovyDQBTJk,12.063,13 mins
Gustincanto,"Via la Bionda, 9, Fidenza",44.8561678,10.072117,4.3,1241,ChIJBdIGr2lfgEcRD7QsoLYyiB8,9.574,11 mins
Trattoria Oca Bianca,"Localita' Passeri, 210, Salsomaggiore Terme",44.8220627,9.9235167,4.7,928,ChIJbyZaEu6JgEcROJyffjHci1A,9.593,14 mins
Osteria Devodier,"Via case mezzadri, 109, Medesano",44.7547568,10.0075635,4.8,125,ChIJPwcBWbxjgEcRjL7Nmz2C1eQ,14.317,22 mins
Antica Osteria della Peppina,"Via Roma, 275, Alseno",44.89613809999999,9.9682549,4.5,629,ChIJzXHu3f30gEcRHIcgkF9FC1I,15.851,20 mins
Taverna Al Castello,"Comune di, Via Libertà, 12, Vigoleno",44.8166941,9.9014393,4.3,606,ChIJRcFVdYyLgEcRDMHVlFKLDeE,13.779,21 mins
Osteria Lago Tana,"Via Bombodolo, 6, Noceto",44.801958,10.1198913,4.4,372,ChIJxRVvV4tmgEcRii6rjEjniXA,16.724,19 mins
